id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
001,F100,RENHAB,2000.0,2024-06-15,True,True,False,DUPLICADO,,MEDIO,40,duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha,"Alerta tx 001 (folio F100, cód RENHAB, monto 2000.00): [DUPLICADO] — duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha"
003,F100,RENHAB,2000.0,2024-06-15,True,True,False,DUPLICADO,,MEDIO,40,duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha,"Alerta tx 003 (folio F100, cód RENHAB, monto 2000.00): [DUPLICADO] — duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha"
004,F102,RENHAB,-1500.0,2024-06-15,True,True,False,SIGNO_CONTABLE,,MEDIO,35,monto_negativo_inesperado: monto=-1500.00 en CARGO código 'RENHAB' — no cancelado y no es código de reversal,"Alerta tx 004 (folio F102, cód RENHAB, monto -1500.00): [SIGNO_CONTABLE] — monto_negativo_inesperado: monto=-1500.00 en CARGO código 'RENHAB' — no cancelado y no es código de reversal"
006,F104,RENHAB,95000.0,2024-06-15,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=95000.00, z=2.64 (umbral ±2.0) para código 'RENHAB'","Alerta tx 006 (folio F104, cód RENHAB, monto 95000.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=95000.00, z=2.64 (umbral ±2.0) para código 'RENHAB'"
007,F105,MINBAR,220.0,2024-06-20,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2024-06-20, check-out=2024-06-17 | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 007 (folio F105, cód MINBAR, monto 220.00): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2024-06-20, check-out=2024-06-17; noches_inconsistentes: cargo=0, reserva=3.0"
008,F106,RENHAB,1800.0,2024-06-10,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_antes_llegada: fecha_cargo=2024-06-10, check-in=2024-06-15","Alerta tx 008 (folio F106, cód RENHAB, monto 1800.00): [FUERA_DE_ESTANCIA] — cargo_antes_llegada: fecha_cargo=2024-06-10, check-in=2024-06-15"
010,F108,ALIMEN,300.0,2024-06-15,True,True,False,CANCELACION_SOSPECHOSA,,MEDIO,25,folio_alto_ratio_cancelaciones: 67% de movimientos cancelados,"Alerta tx 010 (folio F108, cód ALIMEN, monto 300.00): [CANCELACION_SOSPECHOSA] — folio_alto_ratio_cancelaciones: 67% de movimientos cancelados"
011,F108,ALIMEN,310.0,2024-06-15,True,True,False,CANCELACION_SOSPECHOSA,,MEDIO,25,folio_alto_ratio_cancelaciones: 67% de movimientos cancelados,"Alerta tx 011 (folio F108, cód ALIMEN, monto 310.00): [CANCELACION_SOSPECHOSA] — folio_alto_ratio_cancelaciones: 67% de movimientos cancelados"
012,F108,ALIMEN,295.0,2024-06-15,True,True,False,CANCELACION_SOSPECHOSA,,MEDIO,25,folio_alto_ratio_cancelaciones: 67% de movimientos cancelados,"Alerta tx 012 (folio F108, cód ALIMEN, monto 295.00): [CANCELACION_SOSPECHOSA] — folio_alto_ratio_cancelaciones: 67% de movimientos cancelados"
016,F200,PAGPRO,4500.0,2024-06-16,True,True,False,DUPLICADO | PAGO_PROVEEDOR_SOSPECHOSO,,ALTO,70,"duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha | egreso_duplicado: (PROV001, 4500.00) | referencia_poco_frecuente: 'PROV001' (2 veces) | egreso_hora_inusual: 2:00 | egreso_dividido: montos similares al mismo destino mismo día","Alerta tx 016 (folio F200, cód PAGPRO, monto 4500.00): [DUPLICADO | PAGO_PROVEEDOR_SOSPECHOSO] — duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha; egreso_duplicado: (PROV001, 4500.00); referencia_poco_frecuente: 'PROV001' (2 veces)"
017,F200,PAGPRO,4500.0,2024-06-16,True,True,False,DUPLICADO | PAGO_PROVEEDOR_SOSPECHOSO,,ALTO,70,"duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha | egreso_duplicado: (PROV001, 4500.00) | referencia_poco_frecuente: 'PROV001' (2 veces) | egreso_hora_inusual: 2:00 | egreso_dividido: montos similares al mismo destino mismo día","Alerta tx 017 (folio F200, cód PAGPRO, monto 4500.00): [DUPLICADO | PAGO_PROVEEDOR_SOSPECHOSO] — duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha; egreso_duplicado: (PROV001, 4500.00); referencia_poco_frecuente: 'PROV001' (2 veces)"
018,F201,PAGPRO,8000.0,2024-06-16,True,True,False,PAGO_PROVEEDOR_SOSPECHOSO,,MEDIO,30,referencia_poco_frecuente: '' (1 veces) | egreso_hora_inusual: 3:00 | egreso_sin_referencia,"Alerta tx 018 (folio F201, cód PAGPRO, monto 8000.00): [PAGO_PROVEEDOR_SOSPECHOSO] — referencia_poco_frecuente: '' (1 veces); egreso_hora_inusual: 3:00; egreso_sin_referencia"
019,F202,PAGPRO,3200.0,2024-06-15,True,True,False,PAGO_PROVEEDOR_SOSPECHOSO,,MEDIO,30,referencia_poco_frecuente: 'PROV002' (1 veces) | egreso_hora_inusual: 3:00,"Alerta tx 019 (folio F202, cód PAGPRO, monto 3200.00): [PAGO_PROVEEDOR_SOSPECHOSO] — referencia_poco_frecuente: 'PROV002' (1 veces); egreso_hora_inusual: 3:00"
